PARENTUNID,Name,Stage,Status,FacilityType,DocumentID,AssignedTo,Address,City,County,State,Zip,PHF,PHFCooked,PHFRaw,Database,HSUNID,FacilityName,FacilityType,InspectionType,InspectedBy,InspectionDate,NumCritical,NumNonCritical,TimeSpent,Enforcement,NonSmoking,UNID
02F17E456D520077852576D4005FEC34,John Paul Jones Arena Dining,Active,Permitted,Full Service Restaurant,MNAR-6X8TL4,Eric Stutz,295 Massie Road,Charlottesville,Albemarle,VA,22903,Yes,Yes,Yes,Thomas Jefferson,6F3795BF3946C759852578FB0065FD61,John Paul Jones Arena Dining,Full Service Restaurant,Risk Factor Assessment,Eric Stutz,8/29/2011 12:00:00 AM,0,0,0,,Smoke Free,6F3795BF3946C759852578FB0065FD61
02F17E456D520077852576D4005FEC34,John Paul Jones Arena Dining,Active,Permitted,Full Service Restaurant,MNAR-6X8TL4,Eric Stutz,295 Massie Road,Charlottesville,Albemarle,VA,22903,Yes,Yes,Yes,Thomas Jefferson,1634E44B31B5C290852577D8005BE01A,John Paul Jones Arena Dining,Full Service Restaurant,Routine,Eric Stutz,11/11/10 0:00,0,3,1.1,,Smoke Free,1634E44B31B5C290852577D8005BE01A
0338082A6178792F85256E9E006A461F,Calvino Cafe,Active,Permitted,Other Food Service,SWAS-7KNR6R,Reed Cranford,406 West Main Street,Charlottesville,Charlottesville City,VA,22903,Yes,No,No,Thomas Jefferson,A4F9B560925E29378525784C00686F18,Calvino Cafe,Other Food Service,Routine,Reed Cranford,7/3/11 0:00,1,0,0,,Smoke Free,A4F9B560925E29378525784C00686F18
03DCC9F39236532985256E5A00695F13,The Laurels of Charlottesville,Active,Permitted,Nursing Home Food Service,TBAN-5X6QK9,Kelly Donahoe,1165 Pepsi Place,Charlottesville,Albemarle,VA,22901,Yes,Yes,Yes,Thomas Jefferson,5EC958F2139A618B852577B4005195E2,The Laurels of Charlottesville,Nursing Home Food Service,Routine,Kelly Donahoe,6/10/10 0:00,0,1,1,,Smoke Free,5EC958F2139A618B852577B4005195E2
03DCC9F39236532985256E5A00695F13,The Laurels of Charlottesville,Active,Permitted,Nursing Home Food Service,TBAN-5X6QK9,Kelly Donahoe,1165 Pepsi Place,Charlottesville,Albemarle,VA,22901,Yes,Yes,Yes,Thomas Jefferson,9197C7E106AE0F9E8525783800682C3B,The Laurels of Charlottesville,Nursing Home Food Service,Routine,Kelly Donahoe,2/15/2011 12:00:00 AM,0,0,1.2,,Smoke Free,9197C7E106AE0F9E8525783800682C3B
03DCC9F39236532985256E5A00695F13,The Laurels of Charlottesville,Active,Permitted,Nursing Home Food Service,TBAN-5X6QK9,Kelly Donahoe,1165 Pepsi Place,Charlottesville,Albemarle,VA,22901,Yes,Yes,Yes,Thomas Jefferson,D50EC6DA364FE92D852578C50050E2E6,The Laurels of Charlottesville,Nursing Home Food Service,Routine,Kelly Donahoe,6/7/11 0:00,1,1,1,,Smoke Free,D50EC6DA364FE92D852578C50050E2E6
04088F249EA7240F88256B6C007EBAAC,Bright Beginnings - Forest Lakes,Active,Permitted,Child Care Food Service,EBIE-57R2BL,Reed Cranford,3401 Worth Crossing,Charlottesville,Albemarle,Virginia,22911,Yes,No,No,Thomas Jefferson,FF7D25CD640B1DA0852578B00054AD64,Bright Beginnings - Forest Lakes,Child Care Food Service,Routine,Reed Cranford,6/15/2011 12:00:00 AM,0,0,0.3,,Smoke Free,FF7D25CD640B1DA0852578B00054AD64
0572FEADA1F6D5D188256B6C007ECE54,El Puerto Restaurant,Active,Permitted,Full Service Restaurant,SWAS-7DPHZK,Abdugheni Ubul,2045 Barracks Road,Charlottesville,Charlottesville City,Virginia,22903,Yes,Yes,Yes,Thomas Jefferson,3339F259370E2F998525779F005F8530,El Puerto Restaurant,Full Service Restaurant,Routine,Roy Crewz,9/15/2010 12:00:00 AM,0,0,0,,Smoke Free,3339F259370E2F998525779F005F8530
0572FEADA1F6D5D188256B6C007ECE54,El Puerto Restaurant,Active,Permitted,Full Service Restaurant,SWAS-7DPHZK,Abdugheni Ubul,2045 Barracks Road,Charlottesville,Charlottesville City,Virginia,22903,Yes,Yes,Yes,Thomas Jefferson,46BC210B97EF991B852578F5006CAF6E,El Puerto Restaurant,Full Service Restaurant,Complaint,Eric S. Myers,8/19/2011 12:00:00 AM,1,1,0.5,,Smoke Free,46BC210B97EF991B852578F5006CAF6E
0752550A9CF661DD852577C3005125AE,Balkan Bistro and Bar,Active,Permitted,Full Service Restaurant,TBAN-8AFKM6,Pamela Burke,1003 West Main Street,Charlottesville,Charlottesville City,VA,22903,Yes,Yes,Yes,Thomas Jefferson,C657DFBD359DF4A0852578E0005B5120,Balkan Bistro and Bar,Full Service Restaurant,Routine,Pamela Burke,2/8/11 0:00,3,2,0,,Smoke Free,C657DFBD359DF4A0852578E0005B5120
0752550A9CF661DD852577C3005125AE,Balkan Bistro and Bar,Active,Permitted,Full Service Restaurant,TBAN-8AFKM6,Pamela Burke,1003 West Main Street,Charlottesville,Charlottesville City,VA,22903,Yes,Yes,Yes,Thomas Jefferson,C9C16F665F3E27868525788B005C75EE,Balkan Bistro and Bar,Full Service Restaurant,Other,Pamela Burke,9/5/11 0:00,0,0,1.3,,Smoke Free,C9C16F665F3E27868525788B005C75EE
0752550A9CF661DD852577C3005125AE,Balkan Bistro and Bar,Active,Permitted,Full Service Restaurant,TBAN-8AFKM6,Pamela Burke,1003 West Main Street,Charlottesville,Charlottesville City,VA,22903,Yes,Yes,Yes,Thomas Jefferson,F6A6C537B1F013108525788D0061DAC5,Balkan Bistro and Bar,Full Service Restaurant,Routine,Pamela Burke,11/5/11 0:00,0,0,0.8,,Smoke Free,F6A6C537B1F013108525788D0061DAC5
0767A92ED6D7F9E0882577920069F3CF,Now and Zen,Active,Permitted,Full Service Restaurant,DHIL-88WR9A,Archer Campbell,202 Second Street,Charlottesville,Charlottesville City,VA,22902,Yes,Yes,Yes,Thomas Jefferson,EAD699AD9394DD5A8525783F0077ABED,Now and Zen,Full Service Restaurant,Routine,Archer Campbell,2/22/2011 12:00:00 AM,0,3,1,,Smoke Free,EAD699AD9394DD5A8525783F0077ABED
076E564ADB645F5688256B6C007EEEB6,Pigskinz BBQ,Closed,Surrendered,Fast Food Restaurant,SWAS-7JBRFA,Archer Campbell,1640 Seminole Trail,Charlottesville,Albemarle,Virginia,22901,Yes,Yes,Yes,Thomas Jefferson,C4FAD844BCE15605852577E00069243A,Pigskinz BBQ,Fast Food Restaurant,Routine,Archer Campbell,11/19/2010 12:00:00 AM,2,6,0,,Outdoor smoking area,C4FAD844BCE15605852577E00069243A
076E564ADB645F5688256B6C007EEEB6,Pigskinz BBQ,Closed,Surrendered,Fast Food Restaurant,SWAS-7JBRFA,Archer Campbell,1640 Seminole Trail,Charlottesville,Albemarle,Virginia,22901,Yes,Yes,Yes,Thomas Jefferson,DDDA4A4B8B44CBE5852577FB007350C5,Pigskinz BBQ,Fast Food Restaurant,Routine,Archer Campbell,12/13/2010 12:00:00 AM,0,4,1,,Outdoor smoking area,DDDA4A4B8B44CBE5852577FB007350C5
088491B43B2B9EE188256B6C007ED779,Wings Over Charlottesville,Active,Permitted,Carry Out Food Service Only,SWAS-87DR4F,Archer Campbell,2029 Ivy Road,Charlottesville,Charlottesville City,Virginia,22903,Yes,Yes,Yes,Thomas Jefferson,8524FA59A5603439852577A700749F60,Wings Over Charlottesville,Carry Out Food Service Only,Routine,Archer Campbell,9/23/2010 12:00:00 AM,0,4,0,,Smoke Free,8524FA59A5603439852577A700749F60
088491B43B2B9EE188256B6C007ED779,Wings Over Charlottesville,Active,Permitted,Carry Out Food Service Only,SWAS-87DR4F,Archer Campbell,2029 Ivy Road,Charlottesville,Charlottesville City,Virginia,22903,Yes,Yes,Yes,Thomas Jefferson,9C0B820744E19F3B8525785C0072F0C0,Wings Over Charlottesville,Carry Out Food Service Only,Routine,Archer Campbell,3/23/2011 12:00:00 AM,1,6,0,,Outdoor smoking area,9C0B820744E19F3B8525785C0072F0C0
088491B43B2B9EE188256B6C007ED779,Wings Over Charlottesville,Active,Permitted,Carry Out Food Service Only,SWAS-87DR4F,Archer Campbell,2029 Ivy Road,Charlottesville,Charlottesville City,Virginia,22903,Yes,Yes,Yes,Thomas Jefferson,492B98CC254A1D36852578FC00613704,Wings Over Charlottesville,Carry Out Food Service Only,Routine,Archer Campbell,8/30/2011 12:00:00 AM,2,10,0,,Outdoor smoking area,492B98CC254A1D36852578FC00613704
08B24094627260CF88256B6C007EF42D,Pizza Hut,Active,Permitted,Full Service Restaurant,EBIE-57R2PQ,Abdugheni Ubul,100 Jefferson Highway,Louisa,Louisa,Virginia,23093,Yes,No,Yes,Thomas Jefferson,BD33C80561AA884385257792006644AE,Pizza Hut,Full Service Restaurant,Routine,Roy Crewz,2/9/10 0:00,1,2,0,,Smoke Free,BD33C80561AA884385257792006644AE
08B24094627260CF88256B6C007EF42D,Pizza Hut,Active,Permitted,Full Service Restaurant,EBIE-57R2PQ,Abdugheni Ubul,100 Jefferson Highway,Louisa,Louisa,Virginia,23093,Yes,No,Yes,Thomas Jefferson,7EF8F13CA62EE53185257850004B2A76,Pizza Hut,Full Service Restaurant,Routine,Roy Crewz,9/3/11 0:00,0,1,0,,Smoke Free,7EF8F13CA62EE53185257850004B2A76
09D724A8C98DD2A388256B6C007EC321,"Christian's Pizza #1, LLC",Active,Permitted,Full Service Restaurant,SWAS-6VYLJZ,Kelly Donahoe,118 West Main Street,Charlottesville,Charlottesville City,Virginia,22902,Yes,Yes,Yes,Thomas Jefferson,34D4A93A28F07F94852578D30053787F,"Christian's Pizza #1, LLC",Full Service Restaurant,Risk Factor Assessment,Kelly Donahoe,7/20/2011 12:00:00 AM,0,0,0,,Smoke Free,34D4A93A28F07F94852578D30053787F
09D724A8C98DD2A388256B6C007EC321,"Christian's Pizza #1, LLC",Active,Permitted,Full Service Restaurant,SWAS-6VYLJZ,Kelly Donahoe,118 West Main Street,Charlottesville,Charlottesville City,Virginia,22902,Yes,Yes,Yes,Thomas Jefferson,BBB412A566F7D6AE8525784E006435D6,"Christian's Pizza #1, LLC",Full Service Restaurant,Routine,Kelly Donahoe,9/3/11 0:00,0,1,1,,Smoke Free,BBB412A566F7D6AE8525784E006435D6
0A4B13F4099196B0852575D2006C6804,Da Luca,Active,Permitted,Full Service Restaurant,SWAS-7SWR9F,Pamela Burke,1015 Heather Croft Circle,Crozet,Albemarle,VA,22932,Yes,Yes,Yes,Thomas Jefferson,EBBEAC8B3E304A6B852577D0006E8F9C,Da Luca,Full Service Restaurant,Risk Factor Assessment,Pamela Burke,3/11/10 0:00,0,0,0,,Smoke Free,EBBEAC8B3E304A6B852577D0006E8F9C
0A4B13F4099196B0852575D2006C6804,Da Luca,Active,Permitted,Full Service Restaurant,SWAS-7SWR9F,Pamela Burke,1015 Heather Croft Circle,Crozet,Albemarle,VA,22932,Yes,Yes,Yes,Thomas Jefferson,78BE7DE9F3250C03852578780065AE62,Da Luca,Full Service Restaurant,Routine,Pamela Burke,4/20/2011 12:00:00 AM,1,5,0,,Smoke Free,78BE7DE9F3250C03852578780065AE62
0A6B83342650086688256B6C007ED4E0,Greenbrier Elementary School,Active,Permitted,Public Elementary School Food Service,EBIE-57R2HA,Eric Stutz,2228 Greenbrier Drive,Charlottesville,Charlottesville City,Virginia,22901,Yes,No,Yes,Thomas Jefferson,247746D675B74101852578620061C619,Greenbrier Elementary School,Public Elementary School Food Service,Routine,Eric Stutz,3/29/2011 12:00:00 AM,0,2,0,,Smoke Free,247746D675B74101852578620061C619
0A6B83342650086688256B6C007ED4E0,Greenbrier Elementary School,Active,Permitted,Public Elementary School Food Service,EBIE-57R2HA,Eric Stutz,2228 Greenbrier Drive,Charlottesville,Charlottesville City,Virginia,22901,Yes,No,Yes,Thomas Jefferson,3DA58572294197EB852577B2004F6774,Greenbrier Elementary School,Public Elementary School Food Service,Routine,Eric Stutz,4/10/10 0:00,0,0,0.7,,Smoke Free,3DA58572294197EB852577B2004F6774
0A6B83342650086688256B6C007ED4E0,Greenbrier Elementary School,Active,Inspect on Request,Summer Food Service Program Feeding Site,TBAN-8J2JYD,Eric Stutz,2228 Greenbrier Drive,Charlottesville,Charlottesville City,Virginia,22901,Yes,Yes,Yes,Thomas Jefferson,C205B894E2300D60852578B7005B2F2E,Greenbrier Elementary School,Summer Food Service Program Kitchen,Routine,Eric Stutz,6/22/2011 12:00:00 AM,0,0,0.8,,Smoke Free,C205B894E2300D60852578B7005B2F2E
0A7F3158AF4DF7868525711800717A66,Obrigado,Active,Permitted,Full Service Restaurant,PBRE-6M4SAN,Abdugheni Ubul,109 West Main Street,Louisa,Louisa,VA,23093,Yes,Yes,Yes,Thomas Jefferson,8AFFBDA2F22C4310852577AD00671E95,Obrigado,Full Service Restaurant,Routine,Roy Crewz,9/29/2010 12:00:00 AM,0,3,0,,Smoke Free,8AFFBDA2F22C4310852577AD00671E95
0A7F3158AF4DF7868525711800717A66,Obrigado,Active,Permitted,Full Service Restaurant,PBRE-6M4SAN,Abdugheni Ubul,109 West Main Street,Louisa,Louisa,VA,23093,Yes,Yes,Yes,Thomas Jefferson,B656D3247B1FD03D8525789A006082A9,Obrigado,Full Service Restaurant,Routine,Archer Campbell,5/24/2011 12:00:00 AM,4,1,0,,Smoke Free,B656D3247B1FD03D8525789A006082A9
0B445A0EC73EB88088256B6C007EB1DC,200 South Street Inn,Active,Permitted,Full Service Restaurant,EBIE-57R29B,Reed Cranford,200 South Street W,Charlottesville,Charlottesville City,Virginia,22902,Yes,No,No,Thomas Jefferson,275C55520064C0408525781C005E5076,200 South Street Inn,Full Service Restaurant,Routine,Reed Cranford,1/18/2011 12:00:00 AM,0,1,0.7,,Smoke Free,275C55520064C0408525781C005E5076
0B47ECC0918EF13785257809005B55D2,Peter Chang's China Grill,Active,Permitted,Full Service Restaurant,SSCT-8CMML6,Reed Cranford,2162 Barracks Road,Charlottesville,Charlottesville City,VA,22903,Yes,Yes,Yes,Thomas Jefferson,195326DD5F5CE41A85257856005EDE38,Peter Chang's China Grill,Full Service Restaurant,Routine,Reed Cranford,10/3/11 0:00,7,13,0,,Smoke Free,195326DD5F5CE41A85257856005EDE38
